# analysis 25299 -p8 -GP -d3.9 -u40 -U150 -y65 -Y110 -o 25299.out 
# Crop window: [0, 511; 65, 110] Normalization: 0.912798		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25299          0.000000e+00 3.486e+02 2.529e+03 2.422e-01 1.299e+06 2.200e-08 1.495e+04  2.552e+02  4.357e+01  0.000e+00  1.629e+01  9.735e+00 2.608e+02 7.107e+01 2.565e+02 3.700e+01
# error                     0 4.690e+00         0         0 3.278e+04 1.000e-03  2.945e-01  3.922e-01  1.000e-03          0         0 2.019e+01
# 
# z    intNum       Fit     Error       Res
7.900e+01  7.335e+02  1.174e-03  7.576e+02  7.335e+02
8.000e+01  1.860e+03  1.413e-03  7.460e+02  1.860e+03
8.100e+01  6.103e+02  1.699e-03  7.549e+02  6.103e+02
8.200e+01 -1.894e+03  2.040e-03  7.692e+02 -1.894e+03
8.300e+01  4.404e+02  2.447e-03  7.861e+02  4.404e+02
8.400e+01 -1.545e+03  2.932e-03  8.115e+02 -1.545e+03
8.500e+01  3.632e+03  3.510e-03  8.322e+02  3.632e+03
8.600e+01  2.270e+03  4.197e-03  8.540e+02  2.270e+03
8.700e+01 -2.053e+03  5.014e-03  8.813e+02 -2.053e+03
8.800e+01 -3.808e+03  5.983e-03  8.725e+02 -3.808e+03
8.900e+01 -2.715e+03  7.132e-03  8.402e+02 -2.715e+03
9.000e+01  2.005e+03  8.493e-03  8.171e+02  2.005e+03
9.100e+01  2.039e+03  1.010e-02  7.924e+02  2.039e+03
9.200e+01 -1.136e+03  1.200e-02  7.804e+02 -1.136e+03
9.300e+01 -6.677e+02  1.425e-02  7.608e+02 -6.677e+02
9.400e+01  3.041e+02  1.690e-02  7.611e+02  3.041e+02
9.500e+01  7.946e+02  2.001e-02  7.489e+02  7.946e+02
9.600e+01  8.727e+02  2.368e-02  7.577e+02  8.727e+02
9.700e+01  1.624e+02  2.799e-02  7.556e+02  1.623e+02
9.800e+01  3.615e+03  3.305e-02  7.561e+02  3.615e+03
9.900e+01  3.084e+03  3.899e-02  7.698e+02  3.084e+03
1.000e+02  2.626e+03  4.594e-02  7.726e+02  2.626e+03
1.010e+02 -2.071e+03  5.407e-02  7.822e+02 -2.071e+03
1.020e+02 -1.556e+03  6.358e-02  7.873e+02 -1.556e+03
1.030e+02 -8.764e+02  7.468e-02  7.769e+02 -8.764e+02
