#   Time      Description            MOTFlour0   MOTPower1     OTEvap4   BiasShunt   Disorder5    PushCoil    OTPower7      Cross6
23292 13.1150                         0.967117    0.002443    0.129397   21.125258   -0.002441    0.000005    0.647288   -0.004883
23293 13.1503 test                    0.847486   -0.002443    0.153811   28.330376   -0.002441    0.000012    0.644541   -0.002441
23294 13.1889                         0.903639    0.002443    0.295415   28.329942    0.002441    0.000018    0.654612   -0.002441
23295 13.2092                         0.840162    0.000000    0.175784   28.330363   -0.002441    0.000012    0.661936    0.000000
23296 13.2289                         0.854810    0.000000    0.180667   28.330314   -0.002441    0.000012    0.659495    0.002441
23297 13.2497                         0.859693   -0.002443    0.146487   28.329905   -0.002441    0.000012    0.647288    0.002441
23298 13.2806 bar                     0.847486    0.002443    0.139162   28.329522   -0.002441    0.000012    0.652171    0.002441
23299 13.3314                         0.879225    0.000000    0.141604   28.327975    0.000000    0.000008    0.649729    0.000000
23300 13.3558                         0.940261    0.000000    0.141604   28.327715   -0.002441    0.000007    0.649729   -0.002441
23301 13.3772                         0.913405    0.000000    0.153811   28.327740   -0.002441    0.000006    0.654612    0.002441
23302 13.4056                         0.906081    0.000000    0.139162   28.327839   -0.002441    0.000009    0.657053    0.002441
23303 13.4294                         0.888991    0.002443    0.141604   28.327542   -0.002441    0.000007    0.661936    0.000000
23304 13.4586                         0.901198    0.000000    0.151369   28.327926   -0.004883    0.000007    0.657053   -0.002441
23305 13.4808                         0.915846    0.002443    0.144045   28.327715   -0.002441    0.000006    0.649729   -0.002441
23306 13.5169                         0.845045    0.000000    0.144045   21.152864   -0.002441    0.000000    0.654612   -0.002441
23307 13.5661                         0.825513   -0.002443    0.139162   21.147543    0.000000   -0.000000    0.649729   -0.002441
23308 13.5911 testbibar               0.898756    0.000000    0.136721   21.106450   -0.002441    0.000001    0.664378    0.002441
23309 13.6150                         0.876783   -0.002443    0.139162   21.105237   -0.002441    0.000001    0.654612   -0.002441
23310 13.6439                         0.840162   -0.002443    0.141604   21.107600   -0.002441    0.000002    0.659495   -0.002441
23311 13.6739                         0.827955    0.000000    0.151369   21.102020   -0.002441    0.000002    0.671702    0.002441
23312 13.7369                         0.554208    0.002443    0.139162   21.097479   -0.004883   -0.000001    0.669261   -0.002441
23313 13.7678                         0.578622    0.002443    0.151369   21.103183   -0.004883    0.000000    0.674144   -0.002441
23314 13.7997                         0.563973    0.002443    0.136721   21.100386   -0.002441    0.000002    0.671702   -0.004883
23315 13.9139                         0.959792    0.002443    0.144045   28.327369    0.004883    0.000008    0.669261    0.002441
23316 13.9386                         0.845045   -0.002443    0.144045   28.328086   -0.004883    0.000008    0.666819    0.002441
23317 13.9617                         0.823072    0.002443    0.151369   28.329200    0.000000    0.000009    0.657053    0.002441
23318 13.9847                         0.840162    0.002443    0.156252   28.329448    0.002441    0.000009    0.666819   -0.002441
23319 14.0372                         0.781567    0.000000    0.146487   21.138040    0.002441    0.000002    0.654612    0.002441
23320 14.0639 wait0.000ms_kick3.000ms     0.686351    0.002443    0.141604   21.152171    0.002441    0.000002    0.664378    0.000000
23321 14.0828 wait63.158ms_kick3.000ms     0.644541    0.002443    0.139162   21.117066   -0.002441    0.000000    0.676585    0.002441
23322 14.1014 wait5.263ms_kick3.000ms     0.625010    0.000000    0.163577   21.143163   -0.002441    0.000003    0.664378   -0.002441
23323 14.1203 wait78.947ms_kick3.000ms     0.644541    0.000000    0.144045   21.105212   -0.002441    0.000004    0.654612   -0.002441
23324 14.1392 wait100.000ms_kick3.000ms     0.688792    0.000000    0.141604   21.091477    0.002441    0.000004    0.654612   -0.004883
23325 14.1581 wait89.474ms_kick3.000ms     0.693675   -0.009770    0.151369   21.095882    0.002441    0.000003    0.671702   -0.002441
23326 14.1769 wait73.684ms_kick3.000ms     0.708324    0.000000    0.141604   21.109580   -0.002441    0.000004    0.654612    0.000000
23327 14.1958 wait10.526ms_kick3.000ms     0.730297    0.000000    0.158694   21.138671    0.004883    0.000004    0.666819   -0.002441
23328 14.2144 wait15.789ms_kick3.000ms     0.720531    0.000000    0.151369   21.134414    0.004883    0.000003    0.669261    0.002441
23329 14.2333 wait94.737ms_kick3.000ms     0.722972   -0.002443    0.141604   21.095227    0.000000    0.000002    0.652171    0.000000
23330 14.2522 wait57.895ms_kick3.000ms     0.759594   -0.004885    0.153811   21.108986    0.002441    0.000001    0.671702    0.000000
23331 14.2711 wait31.579ms_kick3.000ms     0.769360    0.002443    0.136721   21.128562    0.004883    0.000001    0.657053    0.002441
23332 14.2900 wait84.211ms_kick3.000ms     0.774243    0.000000    0.148928   21.096749    0.000000    0.000001    0.649729   -0.002441
23333 14.3089 wait68.421ms_kick3.000ms     0.762036    0.000000    0.148928   21.107056   -0.002441    0.000001    0.669261   -0.002441
23334 14.3278 wait26.316ms_kick3.000ms     0.766918    0.002443    0.146487   21.134984   -0.002441    0.000001    0.652171   -0.002441
23335 14.3464 wait42.105ms_kick3.000ms     0.769360    0.000000    0.139162   21.125146   -0.002441    0.000001    0.649729   -0.002441
23336 14.3653 wait36.842ms_kick3.000ms     0.776684    0.000000    0.141604   21.120457   -0.004883    0.000001    0.666819    0.000000
23337 14.3842 wait52.632ms_kick3.000ms     0.791333   -0.002443    0.156252   21.110867    0.002441    0.000000    0.647288   -0.002441
23338 14.4031 wait47.368ms_kick3.000ms     0.842603    0.000000    0.146487   21.116262   -0.002441   -0.000000    0.661936   -0.004883
