#   Time      Description            MOTFlour0   MOTPower1     OTEvap4   BiasShunt   Disorder5    PushCoil    OTPower7      Cross6
25283 19.5597                         0.893874    0.007328    0.000000    0.000247    0.000000    0.000043    0.537118    0.000000
25284 19.5872                         0.884108    0.000000   -0.004883    0.000148    0.000000    0.000044    0.537118    0.002441
25285 19.6256                         0.835279    0.002443   -0.002441    0.000371    0.000000    0.000042    0.549325    0.000000
25286 19.6628                         0.803540   -0.002443    0.004883    0.000346    0.000000    0.000042    0.532235    0.000000
25287 19.6867                         0.815747    0.002443    0.002441    0.000346   -0.002441    0.000040    0.539559   -0.002441
25288 19.7233                         0.864576    0.002443   -0.002441    0.000223    0.000000    0.000041    0.144045   -0.002441
25289 19.7672                         0.810864    0.002443    0.004883    0.000297   -0.002441    0.000041    0.146487    0.000000
25290 19.7925                         0.835279    0.000000    0.002441    0.000470    0.002441    0.000040    0.153811   -0.002441
25291 19.8378 test                    0.830396    0.000000    0.004883    0.000223   -0.002441    0.000040    0.144045   -0.002441
25292 19.8606                         0.871901   -0.009770   -0.002441    0.000371    0.000000    0.000040    0.161135    0.000000
25293 19.8831                         0.903639   -0.002443    0.004883    0.000223    0.002441    0.000039    0.141604   -0.002441
25294 19.9006                         0.818189    0.002443    0.002441    0.000247    0.000000    0.000039    0.146487    0.000000
25295 19.9178                         0.842603   -0.002443   -0.002441    0.000445    0.002441    0.000041    0.141604    0.000000
25296 19.9344                         0.857252   -0.002443    0.002441    0.000606   -0.002441    0.000043    0.141604   -0.002441
25297 19.9531                         0.869459    0.002443   -0.002441    0.000544   -0.002441    0.000043    0.146487   -0.002441
25298 19.9697                         0.845045   -0.002443   -0.002441    0.000371    0.002441    0.000044    0.161135    0.002441
25299 19.9897                         0.815747    0.002443    0.000000    0.000371   -0.002441    0.000044    0.148928    0.000000
25300 20.0128                         0.793774    0.009770    0.004883    0.000433    0.000000    0.000044    0.141604    0.000000
25301 20.0372                         0.813306    0.000000    0.000000    0.000371   -0.002441    0.000042    0.141604   -0.002441
25302 20.2400 test                    0.876783   -0.002443    0.004883   -0.000074   -0.002441    0.000040    0.554208   -0.002441
25303 20.3047                         0.845045    0.000000   -0.002441   -0.000148   -0.002441    0.000041    0.549325    0.000000
25304 20.3219                         0.864576    0.000000    0.000000   -0.000099   -0.002441    0.000039    0.539559   -0.002441
25305 20.3383                         0.842603    0.002443    0.000000    0.000173    0.000000    0.000040    0.534676   -0.002441
25306 20.3553                         0.888991   -0.002443    0.000000    0.000099    0.002441    0.000042    0.534676   -0.002441
25307 20.3725                         0.879225   -0.007328   -0.002441    0.000272   -0.002441    0.000043    0.561532   -0.002441
25308 20.3897                         0.854810    0.000000    0.002441    0.000396    0.002441    0.000043    0.559091    0.000000
25309 20.4069                         0.854810    0.000000   -0.004883    0.000619    0.004883    0.000044    0.534676   -0.002441
25310 20.4261                         0.776684   -0.002443    0.000000    0.000445    0.002441    0.000045    0.539559    0.000000
25311 20.4428                         0.796216    0.002443    0.002441    0.000346   -0.002441    0.000042    0.546883    0.002441
