# /home/yihan/monitor/analysis 25246 -u20 -U150 -p8 -y85 -Y93 -GP -d 3.9 -q 0.864576 
# Crop window: [0, 511; 85, 93] Normalization: 0.901943		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25246          8.645760e-01 4.000e+01 1.933e+03 2.141e+01 -8.008e+05 2.897e-10 1.718e+02  4.320e+02  5.000e+00  0.000e+00  9.121e+00  3.698e-02 2.511e+02 1.573e+02 5.000e-01 0.000e+00
# error                     0 3.456e+02         0         0 1.781e+04 1.000e-03  1.718e+01  4.320e+01  1.000e-03          0         0 2.358e+01
# 
# z    intNum       Fit     Error       Res
0.000e+00 -1.935e+02  0.000e+00  5.039e+02 -1.935e+02
1.000e+00 -2.728e+03  0.000e+00  5.755e+02 -2.728e+03
2.000e+00 -2.212e+03  0.000e+00  6.124e+02 -2.212e+03
3.000e+00 -1.977e+03  0.000e+00  6.274e+02 -1.977e+03
4.000e+00 -3.422e+03  0.000e+00  6.381e+02 -3.422e+03
5.000e+00 -1.620e+03  0.000e+00  6.195e+02 -1.620e+03
6.000e+00 -2.093e+03  0.000e+00  5.800e+02 -2.093e+03
7.000e+00 -1.546e+03  0.000e+00  5.539e+02 -1.546e+03
8.000e+00 -2.693e+03  0.000e+00  5.683e+02 -2.693e+03
9.000e+00 -2.965e+03  0.000e+00  5.846e+02 -2.965e+03
1.000e+01 -2.562e+03  0.000e+00  5.732e+02 -2.562e+03
1.100e+01 -2.313e+03  0.000e+00  5.669e+02 -2.313e+03
1.200e+01 -1.889e+03  0.000e+00  5.508e+02 -1.889e+03
1.300e+01 -3.826e+03  0.000e+00  5.761e+02 -3.826e+03
1.400e+01 -2.438e+03  0.000e+00  5.567e+02 -2.438e+03
1.500e+01 -2.008e+03  0.000e+00  5.496e+02 -2.008e+03
1.600e+01 -3.502e+03  0.000e+00  5.905e+02 -3.502e+03
1.700e+01 -1.092e+03  0.000e+00  5.560e+02 -1.092e+03
1.800e+01 -2.251e+03  0.000e+00  5.650e+02 -2.251e+03
1.900e+01 -8.895e+02  0.000e+00  5.392e+02 -8.895e+02
2.000e+01 -2.867e+02  0.000e+00  5.183e+02 -2.867e+02
2.100e+01 -1.790e+03  0.000e+00  4.952e+02 -1.790e+03
2.200e+01  4.682e+02  0.000e+00  4.826e+02  4.682e+02
2.300e+01 -2.193e+03  0.000e+00  4.570e+02 -2.193e+03
2.400e+01 -2.766e+03  0.000e+00  4.494e+02 -2.766e+03
2.500e+01 -3.653e+03  0.000e+00  4.572e+02 -3.653e+03
2.600e+01 -3.758e+03  0.000e+00  4.683e+02 -3.758e+03
2.700e+01 -3.095e+03  0.000e+00  4.590e+02 -3.095e+03
2.800e+01 -5.048e+02  0.000e+00  4.282e+02 -5.048e+02
2.900e+01 -1.703e+03  0.000e+00  4.101e+02 -1.703e+03
3.000e+01 -1.091e+03  0.000e+00  4.075e+02 -1.091e+03
3.100e+01 -1.180e+03  0.000e+00  4.161e+02 -1.180e+03
3.200e+01 -1.564e+03  0.000e+00  4.026e+02 -1.564e+03
3.300e+01 -2.480e+03  0.000e+00  4.246e+02 -2.480e+03
3.400e+01 -1.089e+03  0.000e+00  4.179e+02 -1.089e+03
3.500e+01 -3.198e+03  0.000e+00  4.466e+02 -3.198e+03
3.600e+01 -3.556e+03  0.000e+00  4.958e+02 -3.556e+03
3.700e+01 -2.776e+03  0.000e+00  5.227e+02 -2.776e+03
3.800e+01 -2.027e+03  0.000e+00  5.494e+02 -2.027e+03
3.900e+01 -1.233e+03  0.000e+00  5.622e+02 -1.233e+03
4.000e+01 -1.698e+03  0.000e+00  5.543e+02 -1.698e+03
4.100e+01 -2.542e+03  0.000e+00  5.562e+02 -2.542e+03
4.200e+01 -2.569e+03  0.000e+00  5.496e+02 -2.569e+03
4.300e+01 -4.410e+03  0.000e+00  5.447e+02 -4.410e+03
4.400e+01 -4.124e+03  0.000e+00  5.522e+02 -4.124e+03
4.500e+01 -3.443e+03  0.000e+00  5.511e+02 -3.443e+03
4.600e+01 -1.694e+03  0.000e+00  5.141e+02 -1.694e+03
4.700e+01 -2.160e+03  0.000e+00  5.190e+02 -2.160e+03
4.800e+01 -4.296e+02  0.000e+00  5.131e+02 -4.296e+02
4.900e+01 -3.234e+03  0.000e+00  5.153e+02 -3.234e+03
5.000e+01 -1.943e+03  0.000e+00  4.929e+02 -1.943e+03
5.100e+01 -2.956e+03  0.000e+00  5.142e+02 -2.956e+03
5.200e+01 -2.317e+03  0.000e+00  5.186e+02 -2.317e+03
5.300e+01 -1.847e+03  0.000e+00  5.051e+02 -1.847e+03
5.400e+01 -3.084e+03  0.000e+00  5.307e+02 -3.084e+03
5.500e+01 -2.251e+03  0.000e+00  5.129e+02 -2.251e+03
5.600e+01 -1.458e+03  0.000e+00  5.492e+02 -1.458e+03
5.700e+01 -2.250e+02  0.000e+00  5.861e+02 -2.250e+02
5.800e+01 -2.836e+03  0.000e+00  5.979e+02 -2.836e+03
5.900e+01 -3.111e+03  0.000e+00  5.802e+02 -3.111e+03
6.000e+01 -1.293e+03  0.000e+00  5.634e+02 -1.293e+03
6.100e+01 -1.919e+03  0.000e+00  5.550e+02 -1.919e+03
6.200e+01 -1.360e+03  0.000e+00  5.528e+02 -1.360e+03
6.300e+01 -1.501e+02  0.000e+00  5.559e+02 -1.501e+02
6.400e+01 -7.776e+02  0.000e+00  5.300e+02 -7.776e+02
6.500e+01 -8.149e+02  0.000e+00  4.863e+02 -8.149e+02
6.600e+01 -1.754e+03  0.000e+00  4.600e+02 -1.754e+03
6.700e+01 -8.491e+02  0.000e+00  4.763e+02 -8.491e+02
6.800e+01 -8.138e+02  0.000e+00  5.219e+02 -8.138e+02
6.900e+01 -8.041e+02  0.000e+00  5.073e+02 -8.041e+02
7.000e+01  6.380e+02  0.000e+00  4.830e+02  6.380e+02
7.100e+01  1.432e+03  0.000e+00  4.204e+02  1.432e+03
7.200e+01  3.923e+01  0.000e+00  3.972e+02  3.923e+01
7.300e+01  6.384e+02  0.000e+00  3.924e+02  6.384e+02
7.400e+01 -6.831e+02  0.000e+00  3.959e+02 -6.831e+02
7.500e+01 -5.014e+02  0.000e+00  3.956e+02 -5.014e+02
7.600e+01 -1.019e+03  0.000e+00  4.098e+02 -1.019e+03
7.700e+01 -1.973e+03  0.000e+00  4.100e+02 -1.973e+03
7.800e+01 -3.863e+03  0.000e+00  4.164e+02 -3.863e+03
7.900e+01 -3.072e+03  0.000e+00  3.924e+02 -3.072e+03
