# /home/yihan/monitor/analysis 25244 -u20 -U150 -p8 -y85 -Y93 -GP -d 3.9 -q 0.874342 
# Crop window: [0, 511; 85, 93] Normalization: 0.908168		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25244          8.743420e-01 4.000e+01 2.163e+03 1.591e+00 -6.863e+05 2.897e-10 8.063e+03  4.945e+02  5.000e+00  0.000e+00  1.681e+01  3.654e-02 2.634e+02 1.552e+02 5.000e-01 0.000e+00
# error                     0 3.956e+02         0         0 1.549e+04 1.000e-03  8.152e+02  4.945e+01  1.000e-03          0         0 4.699e+01
# 
# z    intNum       Fit     Error       Res
7.700e+01  3.701e+02  0.000e+00  3.583e+02  3.701e+02
7.800e+01 -1.255e+03  0.000e+00  3.535e+02 -1.255e+03
7.900e+01 -1.069e+03  0.000e+00  3.399e+02 -1.069e+03
8.000e+01 -1.193e+03  0.000e+00  3.418e+02 -1.193e+03
8.100e+01 -1.997e+03  0.000e+00  3.556e+02 -1.997e+03
8.200e+01 -1.575e+03  0.000e+00  3.529e+02 -1.575e+03
8.300e+01 -1.178e+03  0.000e+00  3.614e+02 -1.178e+03
8.400e+01 -2.042e+03  0.000e+00  3.594e+02 -2.042e+03
8.500e+01 -1.317e+03  0.000e+00  3.565e+02 -1.317e+03
8.600e+01 -1.197e+03  0.000e+00  3.485e+02 -1.197e+03
8.700e+01 -1.080e+03  0.000e+00  3.467e+02 -1.080e+03
8.800e+01 -3.193e+02  0.000e+00  3.427e+02 -3.193e+02
8.900e+01 -4.418e+02  0.000e+00  3.407e+02 -4.418e+02
9.000e+01 -1.414e+02  0.000e+00  3.394e+02 -1.414e+02
9.100e+01 -1.108e+03  0.000e+00  3.275e+02 -1.108e+03
9.200e+01 -1.969e+03  0.000e+00  3.159e+02 -1.969e+03
9.300e+01 -8.278e+01  0.000e+00  2.998e+02 -8.278e+01
9.400e+01 -1.870e+02  0.000e+00  2.919e+02 -1.870e+02
9.500e+01 -6.548e+02  0.000e+00  2.966e+02 -6.548e+02
9.600e+01 -1.143e+03  0.000e+00  3.005e+02 -1.143e+03
9.700e+01 -1.789e+03  0.000e+00  3.093e+02 -1.789e+03
9.800e+01 -1.280e+03  0.000e+00  3.100e+02 -1.280e+03
9.900e+01 -2.827e+03  0.000e+00  3.362e+02 -2.827e+03
1.000e+02 -1.625e+03  0.000e+00  3.257e+02 -1.625e+03
1.010e+02 -2.553e+03  0.000e+00  3.573e+02 -2.553e+03
1.020e+02 -1.678e+03  0.000e+00  3.750e+02 -1.678e+03
1.030e+02 -7.835e+02  0.000e+00  3.636e+02 -7.835e+02
1.040e+02 -1.456e+03  0.000e+00  3.751e+02 -1.456e+03
1.050e+02 -2.931e+03  0.000e+00  3.857e+02 -2.931e+03
1.060e+02 -2.939e+03  0.000e+00  3.570e+02 -2.939e+03
1.070e+02 -3.504e+03  0.000e+00  3.396e+02 -3.504e+03
1.080e+02 -1.681e+03  0.000e+00  3.122e+02 -1.681e+03
1.090e+02 -2.114e+03  0.000e+00  3.158e+02 -2.114e+03
1.100e+02 -1.999e+03  0.000e+00  3.039e+02 -1.999e+03
1.110e+02 -2.609e+03  0.000e+00  3.090e+02 -2.609e+03
1.120e+02 -2.045e+03  0.000e+00  3.002e+02 -2.045e+03
1.130e+02 -2.222e+03  0.000e+00  3.031e+02 -2.222e+03
1.140e+02 -2.436e+03  0.000e+00  3.086e+02 -2.436e+03
1.150e+02 -2.393e+03  0.000e+00  2.961e+02 -2.393e+03
1.160e+02 -2.193e+03  0.000e+00  2.995e+02 -2.193e+03
1.170e+02 -1.265e+03  0.000e+00  2.945e+02 -1.265e+03
1.180e+02 -6.794e+02  0.000e+00  2.977e+02 -6.794e+02
1.190e+02 -2.224e+03  0.000e+00  2.941e+02 -2.224e+03
1.200e+02 -8.870e+02  0.000e+00  2.808e+02 -8.870e+02
1.210e+02 -1.968e+03  0.000e+00  2.731e+02 -1.968e+03
1.220e+02 -1.853e+03  0.000e+00  2.676e+02 -1.853e+03
1.230e+02 -4.725e+02  0.000e+00  2.539e+02 -4.725e+02
1.240e+02 -4.771e+02  0.000e+00  2.515e+02 -4.771e+02
1.250e+02 -9.545e+02  0.000e+00  2.535e+02 -9.545e+02
1.260e+02 -1.135e+03  0.000e+00  2.634e+02 -1.135e+03
1.270e+02 -1.115e+03  0.000e+00  2.691e+02 -1.115e+03
1.280e+02 -1.332e+03  0.000e+00  2.778e+02 -1.332e+03
1.290e+02 -1.282e+03  0.000e+00  2.780e+02 -1.282e+03
1.300e+02 -2.879e+02  0.000e+00  2.708e+02 -2.879e+02
1.310e+02 -1.281e+03  0.000e+00  2.690e+02 -1.281e+03
1.320e+02 -2.607e+02  0.000e+00  2.517e+02 -2.607e+02
1.330e+02 -1.382e+03  0.000e+00  2.493e+02 -1.382e+03
1.340e+02 -1.681e+03  0.000e+00  2.547e+02 -1.681e+03
1.350e+02 -2.497e+03  0.000e+00  2.630e+02 -2.497e+03
1.360e+02 -1.278e+03  0.000e+00  2.518e+02 -1.278e+03
1.370e+02 -1.074e+03  0.000e+00  2.457e+02 -1.074e+03
1.380e+02 -9.789e+02  0.000e+00  2.423e+02 -9.789e+02
1.390e+02 -1.014e+03  0.000e+00  2.353e+02 -1.014e+03
1.400e+02 -9.653e+02  0.000e+00  2.370e+02 -9.653e+02
1.410e+02 -1.086e+03  0.000e+00  2.483e+02 -1.086e+03
1.420e+02 -7.788e+02  0.000e+00  2.539e+02 -7.788e+02
1.430e+02 -1.250e+03  0.000e+00  2.596e+02 -1.250e+03
1.440e+02 -2.107e+03  0.000e+00  2.613e+02 -2.107e+03
1.450e+02 -1.319e+03  0.000e+00  2.550e+02 -1.319e+03
1.460e+02 -4.183e+02  0.000e+00  2.517e+02 -4.183e+02
1.470e+02  1.234e+02  0.000e+00  2.581e+02  1.234e+02
1.480e+02 -6.750e+02  0.000e+00  2.596e+02 -6.750e+02
1.490e+02 -8.240e+02  0.000e+00  2.614e+02 -8.240e+02
1.500e+02 -2.631e+02  0.000e+00  2.562e+02 -2.631e+02
1.510e+02 -3.642e+02  0.000e+00  2.585e+02 -3.642e+02
1.520e+02 -5.137e+02  0.000e+00  2.586e+02 -5.137e+02
1.530e+02 -6.560e+01  0.000e+00  2.584e+02 -6.560e+01
1.540e+02 -1.063e+03  0.000e+00  2.580e+02 -1.063e+03
1.550e+02 -1.314e+03  0.000e+00  2.607e+02 -1.314e+03
1.560e+02 -2.108e+03  0.000e+00  2.595e+02 -2.108e+03
1.570e+02 -1.291e+03  0.000e+00  2.528e+02 -1.291e+03
1.580e+02 -1.442e+03  0.000e+00  2.633e+02 -1.442e+03
1.590e+02 -7.337e+02  0.000e+00  2.692e+02 -7.337e+02
1.600e+02 -1.018e+03  0.000e+00  2.628e+02 -1.018e+03
1.610e+02 -5.208e+02  0.000e+00  2.625e+02 -5.208e+02
1.620e+02 -2.692e+03  0.000e+00  2.839e+02 -2.692e+03
1.630e+02 -1.954e+03  0.000e+00  2.658e+02 -1.954e+03
1.640e+02 -1.720e+03  0.000e+00  2.697e+02 -1.720e+03
1.650e+02 -1.240e+03  0.000e+00  2.661e+02 -1.240e+03
1.660e+02 -3.166e+02  0.000e+00  2.597e+02 -3.166e+02
1.670e+02 -3.550e+02  0.000e+00  2.585e+02 -3.550e+02
1.680e+02 -6.749e+02  0.000e+00  2.591e+02 -6.749e+02
1.690e+02 -9.119e+02  0.000e+00  2.530e+02 -9.119e+02
1.700e+02 -1.753e+03  0.000e+00  2.566e+02 -1.753e+03
1.710e+02 -9.668e+02  0.000e+00  2.440e+02 -9.668e+02
1.720e+02 -9.800e+02  0.000e+00  2.377e+02 -9.800e+02
1.730e+02 -7.108e+02  0.000e+00  2.461e+02 -7.108e+02
1.740e+02 -1.415e+03  0.000e+00  2.489e+02 -1.415e+03
1.750e+02 -1.334e+03  0.000e+00  2.539e+02 -1.334e+03
1.760e+02  1.356e+03  0.000e+00  2.477e+02  1.356e+03
1.770e+02  7.228e+02  0.000e+00  2.418e+02  7.228e+02
1.780e+02 -7.781e+02  0.000e+00  2.343e+02 -7.781e+02
1.790e+02 -2.076e+03  0.000e+00  2.464e+02 -2.076e+03
1.800e+02 -1.034e+03  0.000e+00  2.426e+02 -1.034e+03
1.810e+02 -1.595e+03  0.000e+00  2.431e+02 -1.595e+03
1.820e+02 -5.569e+02  0.000e+00  2.328e+02 -5.569e+02
1.830e+02 -7.322e+02  0.000e+00  2.309e+02 -7.322e+02
1.840e+02 -6.057e+02  0.000e+00  2.272e+02 -6.057e+02
1.850e+02 -1.428e+03  0.000e+00  2.226e+02 -1.428e+03
1.860e+02 -1.170e+03  0.000e+00  2.227e+02 -1.170e+03
1.870e+02  2.151e+02  0.000e+00  2.176e+02  2.151e+02
1.880e+02 -4.538e+02  0.000e+00  2.240e+02 -4.538e+02
1.890e+02  9.392e+01  0.000e+00  2.233e+02  9.392e+01
1.900e+02  1.659e+02  0.000e+00  2.169e+02  1.659e+02
1.910e+02 -8.294e+02  0.000e+00  2.190e+02 -8.294e+02
1.920e+02 -9.925e+02  0.000e+00  2.207e+02 -9.925e+02
1.930e+02 -6.259e+02  0.000e+00  2.155e+02 -6.259e+02
1.940e+02 -3.072e+02  0.000e+00  2.084e+02 -3.072e+02
1.950e+02 -8.987e+02  0.000e+00  2.135e+02 -8.987e+02
1.960e+02 -1.752e+03  0.000e+00  2.165e+02 -1.752e+03
1.970e+02  1.401e+02  0.000e+00  2.093e+02  1.401e+02
1.980e+02 -1.200e+03  0.000e+00  2.162e+02 -1.200e+03
1.990e+02 -1.960e+03  0.000e+00  2.216e+02 -1.960e+03
2.000e+02 -1.835e+03  0.000e+00  2.247e+02 -1.835e+03
2.010e+02 -8.828e+02  0.000e+00  2.101e+02 -8.828e+02
2.020e+02 -2.280e+03  0.000e+00  2.187e+02 -2.280e+03
2.030e+02 -2.570e+03  0.000e+00  2.196e+02 -2.570e+03
2.040e+02 -1.193e+03  0.000e+00  2.037e+02 -1.193e+03
2.050e+02 -1.729e+03  0.000e+00  2.125e+02 -1.729e+03
2.060e+02 -1.868e+03  0.000e+00  2.254e+02 -1.868e+03
2.070e+02 -1.904e+03  0.000e+00  2.271e+02 -1.904e+03
2.080e+02 -1.830e+03  0.000e+00  2.266e+02 -1.830e+03
2.090e+02 -2.144e+03  0.000e+00  2.216e+02 -2.144e+03
2.100e+02 -2.831e+03  0.000e+00  2.267e+02 -2.831e+03
2.110e+02 -1.522e+03  0.000e+00  2.113e+02 -1.522e+03
2.120e+02 -8.442e+02  0.000e+00  2.118e+02 -8.442e+02
2.130e+02 -5.633e+02  0.000e+00  2.067e+02 -5.633e+02
2.140e+02 -1.049e+02  0.000e+00  2.083e+02 -1.049e+02
2.150e+02  1.290e+03  0.000e+00  2.143e+02  1.290e+03
2.160e+02  8.100e+02  0.000e+00  2.165e+02  8.100e+02
2.170e+02 -1.639e+02  0.000e+00  2.111e+02 -1.639e+02
2.180e+02 -2.500e+02  0.000e+00  2.043e+02 -2.500e+02
2.190e+02 -1.303e+03  0.000e+00  2.088e+02 -1.303e+03
2.200e+02 -1.332e+03  0.000e+00  2.055e+02 -1.332e+03
2.210e+02 -5.641e+02  0.000e+00  1.958e+02 -5.641e+02
2.220e+02 -8.270e+02  0.000e+00  2.000e+02 -8.270e+02
2.230e+02 -1.575e+03  0.000e+00  2.088e+02 -1.575e+03
2.240e+02 -1.922e+03  0.000e+00  2.115e+02 -1.922e+03
2.250e+02 -1.820e+03  0.000e+00  2.128e+02 -1.820e+03
2.260e+02 -6.371e+02  0.000e+00  1.971e+02 -6.371e+02
2.270e+02 -1.578e+03  0.000e+00  2.099e+02 -1.578e+03
2.280e+02 -1.475e+03  0.000e+00  2.119e+02 -1.475e+03
2.290e+02 -1.628e+03  0.000e+00  2.165e+02 -1.628e+03
2.300e+02 -2.265e+03  0.000e+00  2.241e+02 -2.265e+03
2.310e+02 -2.151e+03  0.000e+00  2.322e+02 -2.151e+03
2.320e+02 -5.324e+02  0.000e+00  2.087e+02 -5.324e+02
2.330e+02 -1.021e+03  0.000e+00  2.058e+02 -1.021e+03
2.340e+02 -5.029e+02  0.000e+00  2.012e+02 -5.029e+02
2.350e+02 -6.220e+02  0.000e+00  2.018e+02 -6.220e+02
2.360e+02 -9.595e+02  0.000e+00  2.070e+02 -9.595e+02
2.370e+02 -7.161e+01  0.000e+00  2.034e+02 -7.161e+01
2.380e+02 -7.131e+01  0.000e+00  2.108e+02 -7.131e+01
2.390e+02  1.207e+03  0.000e+00  2.213e+02  1.207e+03
2.400e+02 -8.782e+01  0.000e+00  2.147e+02 -8.782e+01
2.410e+02 -1.036e+02  0.000e+00  2.110e+02 -1.036e+02
2.420e+02  8.713e+02  0.000e+00  2.052e+02  8.713e+02
2.430e+02 -3.591e+02  0.000e+00  2.068e+02 -3.591e+02
2.440e+02 -5.093e+02  0.000e+00  2.036e+02 -5.093e+02
2.450e+02 -4.437e+02  0.000e+00  2.091e+02 -4.437e+02
2.460e+02 -9.619e+02  0.000e+00  2.100e+02 -9.619e+02
2.470e+02 -1.755e+03  0.000e+00  2.148e+02 -1.755e+03
2.480e+02 -1.808e+03  0.000e+00  2.196e+02 -1.808e+03
2.490e+02 -1.650e+03  0.000e+00  2.061e+02 -1.650e+03
2.500e+02 -1.809e+03  0.000e+00  2.075e+02 -1.809e+03
2.510e+02 -9.706e+02  0.000e+00  2.032e+02 -9.706e+02
2.520e+02 -1.418e+03  0.000e+00  2.080e+02 -1.418e+03
2.530e+02 -7.021e+02  0.000e+00  2.076e+02 -7.021e+02
2.540e+02 -1.865e+03  0.000e+00  2.135e+02 -1.865e+03
2.550e+02 -1.891e+03  0.000e+00  2.204e+02 -1.891e+03
2.560e+02 -3.239e+03  0.000e+00  2.464e+02 -3.239e+03
2.570e+02 -1.599e+03  0.000e+00  2.091e+02 -1.599e+03
2.580e+02 -1.462e+03  0.000e+00  2.083e+02 -1.462e+03
2.590e+02 -1.167e+03  0.000e+00  2.029e+02 -1.167e+03
2.600e+02 -1.451e+03  0.000e+00  2.049e+02 -1.451e+03
2.610e+02 -2.187e+03  0.000e+00  2.182e+02 -2.187e+03
2.620e+02 -8.096e+02  0.000e+00  1.990e+02 -8.096e+02
2.630e+02 -2.190e+03  0.000e+00  2.127e+02 -2.190e+03
2.640e+02 -4.453e+02  0.000e+00  1.996e+02 -4.453e+02
2.650e+02  3.592e+02  0.000e+00  2.021e+02  3.592e+02
2.660e+02 -4.634e+02  0.000e+00  2.056e+02 -4.634e+02
2.670e+02 -8.297e+02  0.000e+00  2.066e+02 -8.297e+02
2.680e+02 -2.443e+02  0.000e+00  2.069e+02 -2.443e+02
2.690e+02 -1.535e+03  0.000e+00  2.118e+02 -1.535e+03
2.700e+02 -2.280e+03  0.000e+00  2.205e+02 -2.280e+03
2.710e+02 -2.466e+03  0.000e+00  2.291e+02 -2.466e+03
2.720e+02 -1.840e+03  0.000e+00  2.196e+02 -1.840e+03
2.730e+02 -2.429e+03  0.000e+00  2.282e+02 -2.429e+03
2.740e+02 -2.043e+03  0.000e+00  2.241e+02 -2.043e+03
2.750e+02 -1.517e+03  0.000e+00  2.131e+02 -1.517e+03
2.760e+02 -1.552e+03  0.000e+00  2.117e+02 -1.552e+03
2.770e+02 -6.068e+02  0.000e+00  1.935e+02 -6.068e+02
2.780e+02 -3.405e+02  0.000e+00  1.903e+02 -3.405e+02
2.790e+02 -9.755e+02  0.000e+00  1.978e+02 -9.755e+02
2.800e+02 -9.439e+02  0.000e+00  1.945e+02 -9.439e+02
2.810e+02 -1.544e+03  0.000e+00  2.018e+02 -1.544e+03
2.820e+02 -1.699e+03  0.000e+00  2.010e+02 -1.699e+03
2.830e+02 -1.653e+03  0.000e+00  2.040e+02 -1.653e+03
2.840e+02 -1.154e+03  0.000e+00  1.988e+02 -1.154e+03
2.850e+02 -1.553e+03  0.000e+00  2.029e+02 -1.553e+03
2.860e+02 -9.599e+02  0.000e+00  2.069e+02 -9.599e+02
2.870e+02 -1.372e+03  0.000e+00  2.093e+02 -1.372e+03
