# /home/yihan/monitor/analysis 25245 -u20 -U150 -p8 -y85 -Y93 -GP -d 3.9 -q 0.1 
# Crop window: [0, 511; 85, 93] Normalization: 0.904571		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25245          1.000000e-01 4.000e+01 2.068e+03 2.057e+00 -7.026e+05 2.897e-10 4.438e+03  4.639e+02  5.000e+00  0.000e+00  5.933e+01  3.661e-02 2.621e+02 1.581e+02 5.000e-01 0.000e+00
# error                     0 3.711e+02         0         0 1.615e+04 1.000e-03  4.438e+02  4.639e+01  1.000e-03          0         0 3.548e+01
# 
# z    intNum       Fit     Error       Res
0.000e+00 -7.922e+02  0.000e+00  5.168e+02 -7.922e+02
1.000e+00 -1.302e+03  0.000e+00  5.689e+02 -1.302e+03
2.000e+00 -2.101e+03  0.000e+00  6.199e+02 -2.101e+03
3.000e+00 -1.230e+03  0.000e+00  6.364e+02 -1.230e+03
4.000e+00 -2.481e+03  0.000e+00  6.452e+02 -2.481e+03
5.000e+00 -3.132e+03  0.000e+00  6.423e+02 -3.132e+03
6.000e+00 -1.560e+03  0.000e+00  5.918e+02 -1.560e+03
7.000e+00 -1.811e+03  0.000e+00  5.603e+02 -1.811e+03
8.000e+00 -2.208e+03  0.000e+00  5.724e+02 -2.208e+03
9.000e+00 -3.396e+03  0.000e+00  6.080e+02 -3.396e+03
1.000e+01 -1.312e+03  0.000e+00  5.897e+02 -1.312e+03
1.100e+01 -2.034e+03  0.000e+00  5.779e+02 -2.034e+03
1.200e+01 -8.399e+02  0.000e+00  5.530e+02 -8.399e+02
1.300e+01 -1.825e+03  0.000e+00  5.678e+02 -1.825e+03
1.400e+01 -2.572e+03  0.000e+00  5.701e+02 -2.572e+03
1.500e+01 -3.811e+03  0.000e+00  5.833e+02 -3.811e+03
1.600e+01 -3.430e+03  0.000e+00  5.810e+02 -3.430e+03
1.700e+01 -3.301e+03  0.000e+00  5.866e+02 -3.301e+03
1.800e+01 -2.607e+03  0.000e+00  5.801e+02 -2.607e+03
